Wreck ID,Strauss ID,Name,Parker Number,Sea area,Country,Region,Latitude,Longitude,Min depth,Max depth,Depth,Period,Dating,Earliest date,Latest date,Date range,Mid point of date range,Probability,Place of origin,Place of destination,Reference,Comments,Amphorae,Marble,Columns etc,Sarcophagi,Blocks,Marble type,Other cargo,Hull remains,Shipboard paraphernalia,Ship equipment,Estimated tonnage,Amphora type
7436,0,Atlit A,1,Eastern Mediterranean,Israel,,32.7,34.91666,,,Shallow,Phoenician,C 7th BC (?),-700,-600,0,0,0,,,"Radan 1981; Raban, 1985: 33-7",,FALSE,FALSE,FALSE,FALSE,FALSE,,"Parker notes Assyrian bronze helmets, Babylonian weights (in the form of swans), furniture and candelabras.",Partly preserved.,,,,
8986,0,Pseira,,,Greece,NE Crete,35.17766,25.85701,40,40,40m,Minoan,C18th-C17th BC,-1800,-1675,0,0,0,Eastern Crete,Crete,http://www.archaeology.org/1001/etc/minoan_shipwreck.html    http://www.timesonline.co.uk/tol/life_and_style/court_and_social/article7028160.ece,"The first Minoan Shipwreck. Six seasons of exploration, ending in 2009, revealed a narrow trail of pottery about 100 feet long at the northern end of the wreck, according to the US journal Archaeology. This broadened out over an area 65 by 50 feet, and Dr Hadjidaki estimates that the ship itself was between 32 and 50 feet long. It had capsized as it sank, spreading the cargo across the sea-bed. She believes the ship probably looked something like the one shown on a sealstone found on Pseira in 1991, with a beaked prow, high stern, and single mast anchored by ropes. It was probably a coasting vessel, delivering everyday goods to ports along the Cretan shore; whether it used a sails, oars or both is not known. More than 200 pottery vessels have been recovered, about 80 of which are complete enough to be identifiable as amphorae and large jars, used for shipping liquids such as wine and olive oil. Philip Betancourt has dated all the vessels to roughly 1800-1675BC, and the clay from which they were made suggests that the ship took on cargo at two or more locations in eastern Crete.",TRUE,FALSE,FALSE,FALSE,FALSE,,"Ceramics including jugs, cups and cooking pots.",,,,0,
8567,0,Ulu Burun,1193,,Turkey,Kaş,36.13086,29.6878,42,61,61m,Late Bronze Age,late C14th BC,-1350,-1300,0,0,0,Syria/Palestine via Ugarit,a palace in the Aegean?,"R. Payton, Anatolian Studies 41 (1991), 99-106; P. Warnock and M. Pendleton, Anatolian Studies 41 (1991), 107-110; C. Haldane, World Archaeology 24 (1993) 348-360;  INA Quarterly 21.4 (1994); M.-H. Gates, AJA 100 ( 1996), 304-306; C. Pulak, IJNA 27 (1998), 188-224; C. Bachhuber, AJA 110 (2006), 345-363","An 11 year excavation was undertaken by the INA of this Late Bronze Age merchant ship. Its cargo was amazingly varied, luxurious and was worth a considerable fortune. It has thus been suggested that the ship may have been on a diplomatic voyage carrying palatial gifts.",TRUE,FALSE,FALSE,FALSE,FALSE,,"Ten tons of Cypriot copper ingots (354 oxhide ingots and 121 smaller bun- and pillow-shaped ingots). Nearly a ton of tin ingots. Raw ivory (elephant tusk and hippo teeth!) and ivory carvings, a gold goblet, ebony, glass ingots and an assortment of gold jewellery. Huge amount of organic material including fruits, nuts, spices and other plants  . Bronze tools and weapons Cypriot pottery",,"Cooking ware, tools, weapons and over 130 pan-balance weights (2 pans were found in a wooden case); saucer lamps, cylinder seals; amber beads and at least 200 flattened blue faience beads. A pair of  intricate wooden (boxwood) writing-boards set with ivory hinges from the Near East.",24 anchors,,
7631,0,Cape Gelidonya A,208,,Turkey,Antalya,36.18333,30.4,26,28,26m,Bronze Age,first half C12th BC,-1200,-1150,0,0,0,Near East,,"Master Seafarers: the Phoenicians and the Greeks (Periplus, 2004), 26-33, incl. illustrations and site plan;         http://www.inadiscover.com/projects/all/southern_europe_mediterranean_aegean/cape_gelidonya_turkey/introduction/","Originally discovered in 1958 and re-examined in 1994, this is the oldest shipwreck ever found! A Cypriot cargo of copper ingots and scrap bronze, although the personal possessions of the crew suggest a Canaanite origin.",TRUE,FALSE,FALSE,FALSE,FALSE,,"34 flat four-handled copper ingots (25kg each) cast in the shape of an ox hide, several tin ingots, several raw bronze ingots and broken bronze tools (scrap axes, adzes, knives and a spade carried in wicker baskets)) destined to be melted down for re-use.","Little remains of the hull, although there is enough to show mortise and tenon construction. Brushwood dunnage still lay in the bottom of the ship's hold.","A set of smith's tools including a small anvil, hammers, a whetstone, stones to polish metals and a bronze block pierced with holes to make metal thread, suggesting that a smith was sailing on the ship. Other possessions include a lamp and a pair of stone mortars made in Syria, as were 4 scarabs and a cylinder seal. There were also nearly 60 graduated stone weights of Near Eastern origin, including Egyptian qedets and Syrian and Canaanite nesefs and shekels. A bronze bracelet was found in a jar of  glass beads. Knuclebones","A stone anchor of Near Eastern type, was found about 100m away from the main site in 1994.",,
8658,0,Antidragonera,,,Greece,Kythera,36.23426,23.11969,9,9,9m,Classical Greek,second half C 4th BC,-350,-300,0,0,0,,,"http://www.culture.gr/2/21/215/21502/e21503.html       Master Seafarers: the Phoenicians and the Greeks (Periplus, 2004), 128-129.","The shipwreck has been excavated since 1993 under the direction of Dr. Dimitris Kourkoumelis. Finds to date include 9 large stone anchors, a few amphorae and at least two storage pithoi, probably belonging to the crew. The bulk of the cargo was probably perishable.",FALSE,FALSE,FALSE,FALSE,FALSE,,,A few bronze nails.,"2 storage pithoi, plates, lamps, lekanides, pitchers, mortars, bowls etc.","9 large pyramid shaped stone anchors, similar to those found in Zea port in Piraeus and the 4th-c. BC wrecks of La Madonnina in the Bay of Taranto, and Ognina 4 in Sicily. The first group lay at the head of the bay on the north side of the islet, at a fairly shallow depth of 9 meters, and included four anchors, the smaller of the two groups. These anchors were probably used by crews to secure the shipsβ� anchorage at the head of the bay. The second group included another five anchors, larger in size than the first group, 150 meters from the first group, towards the northeast headland of the islet. Four of these five anchors were recovered by the excavation team.",0,
8859,0,Bozburun Julio-Claudian,,,Turkey,Marmaris Peninsula,36.62199,28.17031,83,83,83m,Late Republic-early Imperial,C1st BC-AD,-50,50,0,0,0,Rhodes,,"http://www.rpmnautical.org/julioclaud.html         J. Royal, IJNA 35 (2006), 195-218",A large amphora mound measuring 15 x 5m although it is hard to discerna stacking pattern as the upper amphorae are tumbled and there is a large amount of marine growth covering the site.,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,0,
8860,0,Bozburun Late Antiquity anchor,,,Turkey,Marmaris Peninsula,36.63246,28.16276,85,85,85m,Late Antiquity,C 6th AD,500,600,0,0,0,Eastern Mediterranean,,"http://www.rpmnautical.org/lateantiquity.html            J. Royal, IJNA 35 (2006), 195-218",An oval shaped amphora deposit measuring 9 x 3m with 2  collections of anchors about 4m to the west and northwest of the amphorae.,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"There are at least 9, and possibly 11, anchors located in 2 deposits suggesting they were in their stowed postitions at the time of sinking. Seven have clearly discernable arms, six of which are of a cruciform shape (cf Dramont F and Yassi Ada wrecks). Only one has a 2m anchor stock",0,
8862,0,Bozburun Late Republican,,,Turkey,Marmaris Peninsula,36.66606,28.2122,91,91,91m,Late Republican,first half C2nd BC,-150,-100,0,0,0,,,"http://www.rpmnautical.org/laterepublicanwreck.htm               J. Royal, IJNA 37 (2008), 88-97","A badly damaged mound of amphorae measuring 10 x 8m, rising to 0.5-0.75m, although many are still in their upright position in the sand, suggesting that the hull may be preserved underneath.",TRUE,FALSE,FALSE,FALSE,FALSE,,,"Probable, still buried underneath the amphorae.",,,0,
8872,0,Porto Palo di Capo Passero,,,Italy,"Syracuse, Sicily",36.66922,15.16525,40,45,40m,Hellenistic,C4th -3rd BC,-400,-200,0,0,0,,,"C. Beltrame, Vita di Bordo in Eta Romana, 2002, p. 458  Basile 1997",,TRUE,FALSE,FALSE,FALSE,FALSE,,,,A louterion of clay with its stand.,,0,
9025,0,Bozburun tile wreck,,,Turkey,Bozburun,36.67267,28.1607,0,0,,Roman Imperial,,-30,400,0,0,0,,,"http://www.rpmnautical.org/tilewreck.htm           J. Royal, IJNA 37 (2008), 88-97","The site is a small mound measuring c 21 x 10m comprising both cover and pan tiles still in their stacked positions. A trail of amphorae starting about 10m from the site and continuing 600m away contains at least 3 concentrated depostis of numerous large body sherds and upper portions, a formation possibly caused by drag nets.",TRUE,FALSE,FALSE,FALSE,FALSE,,"Roof tiles, both cover and pan: over 10 of red fabric with white inclusions have been exposed possibly by an octupus (!). The cover tiles are about 1m long and 0.2-0.3m  wide, and slightly rounded to form a convex shape that is more acute at their edges than at the centre, stacked one upon the other and lying on their sides.",,,,0,
